Image ID,Image.name,Annotation status,Points,AcrCerv,AcrPalm,AgAga,AgTen,AgUnd,BL_OrbFav,BORB,CoNat,DiplLab,FaviaFrag,MontaCav,OrbAnn,OrbFav,OrbFrank,PorAstr,Por_branch,PorPor,PseuCliv,PseuStrig,Siderastr,SidSid,ANEM,Feat_dust,GORG-BRI,Gorg_Fan,Gorg_Plume,Gorg_Whip,Hydra,Millepora,PCAR,Spong_Crus,Spong_Erec,Spong_Glo,Film_Sand,Sand,Bare_Rock,CCA_LR,Cyano_HR,Cyano_LR,Cyano_RBL,Cyano_Sand,Debris,ACA,Brown_Enc,Brown_UFM,CCA_HR,CCA_RBL,Dictyota,EAM_HR,EAM_LR,EAM_RBL,Green_UFM,Halimeda,Lobophora,Mac_matrix,Red_Enc,Red_UFM,Sargassum,Ulva,SyrFil,ThalTes
6097810,Belize2025_reefCensus_photoquadrats_CBC_20250625_T3_Q06_25m_P6250595_R.JPG,Confirmed,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,4,0,0,0,32,0,4,0,0,0,0,0,0,0,0,4,0,4,4,36,0,0,0,0,4,0,0,0,0,0,0
6097811,Belize2025_reefCensus_photoquadrats_CBC_20250625_T3_Q07_20m_P6250295_R.JPG,Confirmed,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,20,0,0,0,0,0,0,0,0,0,0,12,0,4,20,32,0,0,0,0,0,0,4,0,0,0,0
6097812,Belize2025_reefCensus_photoquadrats_CBC_20250625_T3_Q08_15m_P6250598_R.JPG,Confirmed,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,4,0,0,8,4,0,12,0,0,0,0,0,0,0,0,0,0,0,0,56,0,0,0,12,0,0,0,0,0,0
6097813,Belize2025_reefCensus_photoquadrats_CBC_20250625_T3_Q09_10m_P6250309_R.JPG,Confirmed,25,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,4,24,12,0,16,0,12,0,4,0,0,0,0
6097814,Belize2025_reefCensus_photoquadrats_CBC_20250625_T3_Q10_5m_P6250603_R.JPG,Confirmed,25,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,0,0,0,4,0,0,0,0,0,8,0,0,0,0,0,4,0,4,20,0,8,20,8,0,0,0,0,0,0,0,0,0,0,0
6097815,Belize2025_reefCensus_photoquadrats_CBC_20250625_T4_Q01_50m_P6250326_R.JPG,Confirmed,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,0,0,0,0,0,0,0,0,4,0,0,0,28,0,0,0,0,4,0,4,0,0,0,0
6097816,Belize2025_reefCensus_photoquadrats_CBC_20250625_T4_Q02_45m_P6250611_R.JPG,Confirmed,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,88,4,0,0,0,0,0,0,0,0,0,0
6097817,Belize2025_reefCensus_photoquadrats_CBC_20250625_T4_Q03_40m_P6250332_.JPG,Confirmed,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,0,0,0,0,0,0,0,0,8,0,0,4,36,0,0,0,0,16,0,0,0,0,0,0
6097818,Belize2025_reefCensus_photoquadrats_CBC_20250625_T4_Q04_35m_P6250615_R.JPG,Confirmed,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,36,0,0,0,0,0,0,0,0,8,0,0,0,40,0,0,4,0,4,0,0,0,0,0,0
6097819,Belize2025_reefCensus_photoquadrats_CBC_20250625_T4_Q05_30m_P6250341_R.JPG,Confirmed,25,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,20,0,0,12,40,0,0,0,0,0,0,0,0,0,0,0
